old_name,new_name,year,authors,title,source,status
00wa-mb.pdf,00wa-intersystem.pdf,2000,Wenye Wang and Ian F. Akyildiz,Intersystem Location Update and Paging Schemes for Multitier Wireless Networks,data/publications.php,renamed
00wa-vtc.pdf,00was-cost.pdf,2000,"Wenye Wang, Ian. F Akyildiz, and Gordon L. Stuber",A Cost Effective Paging Scheme for IMT-2000 Systems,data/publications.php,renamed
00was-gb.pdf,00was-optimal.pdf,2000,"Wenye Wang, Ian F. Akyildiz, and Gordon L. St¨¹ber",An Optimal Partition Algorithm for Minimization of Paging Costs,data/publications.php,renamed
00was-wcnc.pdf,00was-reducing.pdf,2000,"Wenye Wang, Ian F. Akyildiz, and Gordon L. St¨¹ber",Reducing the Paging Costs under Delay Bounds for PCS Networks,data/publications.php,renamed
02wa-gb.pdf,02wa-estimation.pdf,2002,Wenye Wang and Ian F. Akyildiz,On the Estimation of User Mobility Pattern for Location Tracking in Wireless Networks,data/publications.php,renamed
05LW-COMNET.pdf,05lw-performance.pdf,2005,Wei Liang and Wenye Wang,On Performance Analysis of Challenge/Responds Based Authentication in Wireless Local Area Networks,data/publications.php,renamed
05LW-INFOCOM.pdf,05lw-quantitative.pdf,2005,"Wei Liang, Wenye Wang",A Quantitative Study of Authentication and QoS in Wireless IP Networks,data/publications.php,renamed
05WWN-INFOCOM.pdf,05wwn-new.pdf,2005,"Wenye Wang, Xinbing Wang, and Arne Nilsson",A New Admission Control Scheme under Energy and QoS Constraints for Wireless Networks,data/publications.php,renamed
06aw-milcom.pdf,06aw-dspm.pdf,2006,Avesh K. Agarwal and Wenye Wang,DSPM: Dynamic Security Policy Management for Optimizing Performance in Wireless Networks,data/publications.php,renamed
06sw-wcmc.pdf,06sw-simulation.pdf,2006,Jungkee Song and Wenye Wang,A Simulation Study of IP-Based Vertical Handoff in Wireless Convergent Networks,data/publications.php,renamed
06tw-ijsnet.pdf,06tw-tts.pdf,2006,Nurcan Tezcan and Wenye Wang,TTS: A Two-Tiered Scheduling Mechanism for Energy Conservation in Wireless Sensor Networks,data/publications.php,renamed
06xew-ipccc.pdf,06wew-tcp.pdf,2006,"Xinbing Wang, Do Young Eun, and Wenye Wang",A TCP-Aware Call Admission Control Scheme for Packet-Switched Wireless Networks,data/publications.php,renamed
06xuw-milcom.pdf,06xw-meaca.pdf,2006,Yi Xu and Wenye Wang,MEACA: Mobility and Energy Aware Clustering Algorithm for Constructing Stable MANETs,data/publications.php,renamed
06xw-milcom.pdf,06xw-dynamic.pdf,2006,Fei Xing and Wenye Wang,Understanding Dynamic Denial of Service Attacks in Mobile Ad Hoc Networks,data/publications.php,renamed
06zw-globecom.pdf,06zw-novel.pdf,2006,Ming Zhao and Wenye Wang,A Novel Semi-Markov Smooth Mobility Model for Mobile Ad Hoc Networks,data/publications.php,renamed
06zw-milcom.pdf,06zw-design.pdf,2006,Ming Zhao and Wenye Wang,Design and Applications of A Smooth Mobility Model for Mobile Ad Hoc Networks,data/publications.php,renamed
07aw-monet.pdf,07aw-impact.pdf,2007,Avesh K. Agarwal and Wenye Wang,On the Impact of Quality of Protection in Wireless Local Area Networks with IP Mobility,data/publications.php,renamed
07awg-milcom.pdf,07awg-lap.pdf,2007,"Avesh K. Agarwal, Wenye Wang, Rachana Gupta, and Mo-Yuen Chow",LAP: Link-Aware Protection for Improving Performance of Loss and Delay Sensitive Applications in Wireless LANs,data/publications.php,renamed
07sw-wcnc.pdf,07kw-computing.pdf,2007,Shawqi Kharbash and Wenye Wang,Computing Two-Terminal Reliability in Mobile Ad hoc Networks,data/publications.php,renamed
07tw-coverage-wcnc.pdf,07tw-effective.pdf,2007,Nurcan Tezcan and Wenye Wang,Effective Coverage and connectivity Preserving in Heterogeneous Sensor Networks,data/publications.php,renamed
07tw-ijsnet.pdf,07tw-art.pdf,2007,Nurcan Tezcan and Wenye Wang,ART: An Asymmetric and Reliable Transport Mechanism for Wireless Sensor Networks,data/publications.php,renamed
07tw-reliable-wcnc.pdf,07tw-distributed.pdf,2007,Nurcan Tezcan and Wenye Wang,Distributed Coordination of Sensors for End-to-End Reliable Event and Query Delivery,data/publications.php,renamed
07wew-twc.pdf,07wew-dynamic.pdf,2007,"Xinbing Wang, Do Young Eun, and Wenye Wang",A Dynamic TCP-Aware Call Admission Control Scheme for Next Generation Wireless Communications,data/publications.php,renamed
07xingw-gc.pdf,07xw-expected.pdf,2007,Fei Xing and Wenye Wang,On the Expected Connection Lifetime and Stochastic Resilience of Wireless Multihop Networks,data/publications.php,renamed
07xuw-gc.pdf,07xw-stability.pdf,2007,Yi Xu and Wenye Wang,Stability of Hierarchical Mobile Ad Hoc Networks,data/publications.php,renamed
07xw-milcom.pdf,07xw-detecting.pdf,2007,Yi Xu and Wenye Wang,Detecting and Mitigating DoS Attacks in Wireless Networks without Affecting the Normal Behaving Nodes,data/publications.php,renamed
07xw-net.pdf,07xw-resilient.pdf,2007,Fei Xing and Wenye Wang,On the Resilient Overlay Topology Formation in Multi-hop Wireless Networks,data/publications.php,renamed
07xw-wcnc.pdf,07xw-analyzing.pdf,2007,Fei Xing and Wenye wang,Analyzing Resilience to Node Misbehaviors in Wireless Multihop Networks,data/publications.php,renamed
07zw-gc.pdf,07zw-impacts.pdf,2007,Ming Zhao and Wenye Wang,The Impacts of Radio Channels and Node Mobility on Link Statistics in Mobile Ad Hoc Networks,data/publications.php,renamed
07zw-wcnc.pdf,07zw-analyzing.pdf,2007,Ming Zhao and Wenye Wang,Analyzing Topology Dynamics in Ad Hoc Networks Using a Smooth Mobility Model,data/publications.php,renamed
08tw-comnet.pdf,08tw-self.pdf,2008,Nurcan Tezcan and Wenye Wang,Self-Orienting Wireless Multimedia Sensor Networks for Occlusion-Free Viewpoints,data/publications.php,renamed
08tw-icc.pdf,08tw-self-2.pdf,2008,Nurcan Tezcan and Wenye Wang,Self-Orienting Wireless Multimedia Sensor Networks for Maximizing Multimedia Coverage,data/publications.php,renamed
08wz-info.pdf,08wz-joint.pdf,2008,Wenye Wang and Ming Zhao,Joint Effects of Radio Channels and Node Mobility on Link Dynamics in Wireless Networks,data/publications.php,renamed
08xingw-icc.pdf,08xw-devolution.pdf,2008,Fei Xing and Wenye Wang,On the Devolution of Large-scale Sensor Networks in the Presence of Random Failures,data/publications.php,renamed
08xuw-icc.pdf,08xw-finding.pdf,2008,Yi Xu and Wenye Wang,Finding the Fastest Path in Wireless Networks,data/publications.php,renamed
08xw-info.pdf,08xw-speed.pdf,2008,Yi Xu and Wenye Wang,The Speed of Information Propagation in Large Wireless Networks,data/publications.php,renamed
08xw-mc.pdf,08xw-critical.pdf,2008,Fei Xing and Wenye Wang,On the Critical Phase Transition Time of Wireless Multi-hop Networks with Random Failures,data/publications.php,renamed
08zmw-milcom.pdf,08zmw-empirical.pdf,2008,"Ming Zhao, Levi Mason, and Wenye Wang",Empirical Study on Human Mobility for Wireless Mobile Networks,data/publications.php,renamed
09xw-mc.pdf,09xw-scheduling.pdf,2009,Yi Xu and Wenye Wang,Scheduling Partitioning for Order Optimal Capacity in Large-Scale Wireelss Networks,data/publications.php,renamed
09xw-TDSC.pdf,10xw-survivability.pdf,2010,Fei Xing and Wenye Wang,On the Survivability of Wireless Ad Hoc Networks with Node Misbehaviors and Failures,data/publications.php,renamed
09xw-tvt.pdf,09xw-topology.pdf,2009,Yi Xu and Wenye Wang,Topology Stability Analysis and its Application in Hierarchical Mobile Ad Hoc Networks,data/publications.php,renamed
09zw-winet.pdf,09zw-unified.pdf,2009,Ming Zhao and Wenye Wang,A Unified Mobility Model for Analysis and Simulation of Mobile Wireless Networks,data/publications.php,renamed
10185834.pdf,,,,,unmatched,skipped
10aw-monet.pdf,10aw-experimental.pdf,2010,Avesh K. Agarwal and Wenye Wang,An Experimental Study of the Performance Impact of Path-based DoS Attacks in Wireless Mesh Networks,data/publications.php,renamed
10lw-mil.pdf,10lww-review.pdf,2010,"Zhuo Lu, Wenye Wang, and Cliff Wang",Review and Evaluation of Security Threats on the Communication Networks in the SmartGrid,data/publications.php,renamed
10xw-IF.pdf,10xw-characterizing.pdf,2010,Yi Xu and Wenye Wang,Characterizing the Spread of Correlated Failures in Large Wireless Networks,data/publications.php,renamed
10yw-IF.pdf,10yw-connectivity.pdf,2010,Chi Yi and Wenye Wang,On the Connectivity Analysis over Large-Scale Hybrid Wireless Networks,data/publications.php,renamed
11llw-GB.pdf,11llw-network.pdf,2011,Xiang Lu and Zhuo Lu and Wenye Wang and Jianfeng Ma,On Network Performance Evaluation toward the Smart Grid: A Case Study of DNP3 over TCP/IP,data/publications.php,renamed
11lwl-milcom.pdf,11lwl-security.pdf,2011,Xiang Lu and Wenye Wang and Zhuo Lu and Jianfeng Ma,From Security to Vulnerability: Data Authentication Undermines Message Delivery in Smart Grid,data/publications.php,renamed
11lww-info.pdf,11lw-jammer.pdf,2011,Zhuo Lu and Wenye Wang,From Jammer to Gambler: Modeling and Detection of Jamming Attacks against Time-Critical Traffic,data/publications.php,renamed
11lzw-GB.pdf,11lzw-intermittent.pdf,2011,"Yujin Li, Ming Zhao, and Wenye Wang",Intermittent Connected Vehicle-to-Vehicle Networks: Detection and Analysis,data/publications.php,renamed
11sw-info.pdf,11sw-distribution.pdf,2011,Lei Sun and Wenye Wang,On Distribution and Limits of Information Dissemination Latency and Speed In Mobile Cognitive Radio Networks,data/publications.php,renamed
11wxk-comnet.pdf,11wxk-survey.pdf,2011,"Wenye Wang, Yi Xu, and Mohit Khanna",A survey on the communication architectures in smart grid,data/publications.php,renamed
11xuw-icc.pdf,11xw-speed.pdf,2011,Yi Xu and Wenye Wang,"The Speed Bounds on Event Reporting in Mobile Sensor Networks with Energy Constraints,",data/publications.php,renamed
11xw-comnet.pdf,11xw-robust.pdf,2011,Fei Xing and Wenye Wang,Toward Robust Multi-hop Data Forwarding in Large Scale Wireless Network,data/publications.php,renamed
11xw-info.pdf,11xw-information.pdf,2011,Yi Xu and Wenye Wang,Information Delivery in Large Wireless Networks with Minimum Energy Expense,data/publications.php,renamed
11xw-ton.pdf,11xw-limit.pdf,2011,Yi Xu and Wenye Wang,The Limit of Information Propagation Speed in Large-Scale Multi-Hop Wireless Networks,data/publications.php,renamed
11xzw-SG.pdf,11xzw-energy.pdf,2011,"Yi Xu, Jianhua Zhang, Wenye Wang, Avik Juneja, and Subhashish Bhattacharya",Energy Router: Architectures and Functionalities toward Energy Internet,data/publications.php,renamed
