old_name,new_name,title,authors,year,status
1.pdf,,,,,skipped
381677.381709.pdf,,,,,skipped
All-Terminal_Network_Reliability_Optimization_in_Fading_Environment_via_Cross_Entropy_Method.pdf,10kw-all.pdf,All-Terminal Network Reliability Optimization in Fading Environment via Cross Entropy Method,Shawqi Kharbash and Wenye Wang,2010,renamed
Architecture_of_solid_state_transformer-based_energy_router_and_models_of_energy_traffic.pdf,12zwb-architecture.pdf,Architecture of Solid State Transformer-based Energy Router and Energy Traffic,"Jianhua Zhang, Wenye Wang, Subhashish Bhattacharya",2012,renamed
Characterization_of_data-sensitive_wireless_distributed_networked-control-systems.pdf,07gaw-characterization.pdf,Characterization of data-sensitive wireless distributed networked-control-systems,"Rachana Gupta, Avesh K. Agarwal, Wenye Wang, Mo-Yuen Chow",2007,renamed
Claim_What_You_Need_A_Text-Mining_Approach_on_Android_Permission_Request_Authorization.pdf,15wgw-claim.pdf,Claim What You Need: A Text-Mining Approach on Android Permission Request Authorization,"Mingkui Wei, Xi Gong, and Wenye Wang",2015,renamed
Downlink_Decoding_Based_Accurate_Measurement_of_LTE_Spectrum_Tenancy.pdf,21zw-downlink.pdf,Downlink Decoding Based Accurate Measurement of LTE Spectrum Tenancy,Rui Zou and Wenye Wang,2021,renamed
Effi-Ace_Efficient_and_Accurate_Prediction_for_High-Resolution_Spectrum_Tenancy.pdf,24zw-effi.pdf,Effi-Ace: Efficient and Accurate Prediction for High-Resolution Spectrum Tenancy,Rui Zou and Wenye Wang,2024,renamed
Efficient_Security_Management_for_Ad_Hoc_Networks.pdf,07wzw-efficient.pdf,Efficient Security Management in Ad Hoc Networks,"Sherry Wang, Harold Zheng, and Wenye Wang",2007,renamed
Hybrid_Zone_Bridging_Acoustic_and_Wi-Fi_for_Enhanced_Gesture_Recognition.pdf,24lw-hybrid.pdf,Hybrid Zone: Bridging Acoustic and Wi-Fi for Enhanced Gesture Recognition,Mengning Li and Wenye Wang,2024,renamed
Information_security_with_real-time_operation_performance_assessment_for_next_generation_wireless_distributed_networked-control-systems.pdf,07gaw-information.pdf,Information security with real-time operation: performance assessment for next generation wireless distributed networked-control-systems,"Rachana Gupta, Avesh K. Agarwal, Wenye Wang, Mo-Yuen Chow",2007,renamed
Internode_Mobility_Correlation_for_Group_Detection_and_Analysis_in_VANETs.pdf,13lw-inter.pdf,Inter-Node Mobility Correlation for Group Detection and Analysis in VANETs,Yujin Li and Wenye Wang,2013,renamed
Message_Dissemination_in_Intermittently_Connected_D2D_Communication_Networks.pdf,14lw-message.pdf,Message Dissemination in Intermittently Connected D2D Communication Networks,Yujin Li and Wenye Wang,2014,renamed
Modeling_and_Analysis_of_Information_Leakage_Under_Multiple_Adversaries.pdf,23fw-modeling.pdf,Modeling and Analysis of Information Leakage under MUltiple Adversaries,Lichen Fu and Wenye wang,2023,renamed
Modeling_and_Performance_Evaluation_of_Backoff_Misbehaving_Nodes_in_CSMA_CA_Networks.pdf,12lww-modeling.pdf,Modeling and Performance Evaluation of Backoff Misbehaving Nodes in CSMA/CA Networks,"Zhuo Lu, Wenye Wang, and Cliff Wang",2012,renamed
mSAC_Enhancing_Localization_with_mmWave_Sensing_and_Orthogonal_Signals.pdf,25lzw-msac.pdf,mSAC: Enhancing Localization with mmWave Sensing and Orthogonal Signals,"M. Li, H. Zhu, W. Wang and E. Ekici",2025,renamed
On_latency_distribution_and_scaling_from_finite_to_large_Cognitive_Radio_Networks_under_general_mobility.pdf,12sw-latency.pdf,On Latency Distribution and Scaling: From Finite to Large Cognitive Radio Networks under General Mobility,Lei Sun and Wenye Wang,2012,renamed
On_Order_Gain_of_Backoff_Misbehaving_Nodes_in_CSMA_CA-based_Wireless_Networks.pdf,10lw-order.pdf,On Order Gain of Backoff Misbehaving Nodes in CSMA/CA-Based Wireless Networks,Zhuo Lu and Wenye Wang,2010,renamed
On_Study_of_Achievable_Capacity_with_Hybrid_Relay_in_Cognitive_Radio_Networks.pdf,09sw-study.pdf,On Study of Achievable Capacity with Hybrid Relay in Cognitive Radio Networks,Lei Sun and Wenye Wang,2009,renamed
On_the_Access_Time_in_Mobile_Hybrid_Networks.pdf,11zw-access.pdf,On the Access Time in Mobile Hybrid Networks,Haiyang Zheng and Wenye Wang,2011,renamed
On_the_Connectivity_of_Large-Scale_Hybrid_Wireless_Networks.pdf,10yw-connectivity.pdf,On the Connectivity of Large-Scale Hybrid Wireless Networks,Chi Yi and Wenye Wang,2010,renamed
On_the_Dissemination_Latency_of_Cognitive_Radio_Networks_under_General_Node_Mobility.pdf,11sw-dissemination.pdf,On the Dissemination Latency of Cognitive Radio Networks Under General Node Mobility,Lei Sun and Wenye Wang,2011,renamed
Performance_Assessment_of_Data_and_Time-Sensitive_Wireless_Distributed_Networked-Control-Systems_in_Presence_of_Information_Security.pdf,07gca-performance.pdf,Performance Assessment of Data and Time-Sensitive Wireless Distributed Networked-control-Systems in Presence of Information Securty,"Rachana Gupta, Mo-Yuen Chow, Avesh K. Agarwal, Wenye Wang",2007,renamed
Performance_Sensitivities_of_Wireless_Mesh_Networks_Under_Path-Based_DoS_Attacks.pdf,09aw-performance.pdf,Performance Sensitivities of Wireless Mesh Networks Under Path-based DoS Attacks,Avesh K. Agarwal and Wenye Wang,2009,renamed
Phase_Transition_of_Traffic_Overloading_Failures_in_Large_Wireless_Networks.pdf,10xw-phase.pdf,Phase Transition of Traffic Overloading Failures in Large Wireless Networks,Yi Xu and Wenye Wang,2010,renamed
Remedy_or_Resource_Drain_Modeling_and_Analysis_of_Massive_Task_Offloading_Processes_in_Fog.pdf,23www-remedy.pdf,Remedy or Resource Drain: Modeling and Analysis of Massive Task Offloading Processes in the Fog,"Jie Wang, Wenye Wang, and Cliff Wang",2023,renamed
Safety_Can_Be_Dangerous_Secure_Communications_Impair_Smart_Grid_Stability_under_Emergencies.pdf,15ww-safety.pdf,Safety Can Be Dangerous: Secure Communications Impair Smart Grid Stability Under Emergencies,Mingkui Wei and Wenye Wang,2015,renamed
Talk_to_transformers_An_empirical_study_of_device_communications_for_the_FREEDM_system.pdf,11lwj-talk.pdf,Talk to Transformers: An Empirical Study of Device Communications for the FREEDM Sysem,Xiang Lu and Wenye Wang and Avik Juneja and Alexander Dean,2011,renamed
TOP_Total_Occupancy_Guided_Prediction_of_Binary_Spectrum_Tenancy.pdf,23zw-top.pdf,TOP: Total Occupancy Guided Prediction of Binary Spectrum Tenancy,Rui Zou and Wenye Wang,2023,renamed
Toward_Fast_and_Energy-Efficient_Access_to_Cloudlets_in_Hostile_Environments.pdf,23www-fast.pdf,Towards Fast and Energy-Efficient Access to Cloudlets in Hostile Environments,"Jie Wang, Wenye Wang, and Cliff Wang",2023,renamed
towards multi-person gesture.pdf,23lnw-multi.pdf,Towards Multi-Person Gesture Recognition using Commodity Wi-Fi,"Xiaozhuang Liu, Zhenxing Niu, Wenye Wang",2023,renamed
